prompt_id,persona,level,situational_context,full_prompt,llm_response,timestamp,error
1,MIT,High Intermediate,wants to have a career prospect,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson wants to have a career prospect.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","""Can you help me understand how to optimize the performance of a distributed system, particularly with regard to minimizing latency and maximizing throughput?""",2025-12-16T19:12:01.073891,
2,Malagasy,Intermediate,is discovering GitHub,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Vatosoa Razafindrazaka is discovering GitHub.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","Vatosoa Razafindrazaka's Question: ""How can I effectively use branches in GitHub to manage different versions of my project?""",2025-12-16T19:12:02.716827,
3,MIT,Beginner,wants to have a career prospect,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Freshman-year student discovering coding for the first time

CURRENT SITUATION:
Jessey Johnson wants to have a career prospect.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""What is the best way for a beginner to practice coding on a daily basis?""",2025-12-16T19:12:04.284565,
4,Malagasy,Intermediate,is building a personal website,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Vatosoa Razafindrazaka is building a personal website.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","Vatosoa Razafindrazaka's Question: ""How can I use CSS Grid to layout my personal website so that it's responsive and visually appealing?""",2025-12-16T19:12:05.915951,
5,MIT,High Intermediate,is asking AI to correct code,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson is asking AI to correct code.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","""Can you help me debug this Python script that uses TensorFlow for image classification? I keep getting a shape mismatch error.""",2025-12-16T19:12:07.768936,
6,MIT,High Intermediate,is building a website,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson is building a website.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","How can I ensure my website's REST API is both performant and secure, given that I've implemented rate limiting and input validation?""",2025-12-16T19:12:09.509067,
7,MIT,Beginner,is learning how to make simple animations with JavaScript,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Freshman-year student discovering coding for the first time

CURRENT SITUATION:
Jessey Johnson is learning how to make simple animations with JavaScript.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""How do I use JavaScript to animate a simple shape like a square on a webpage?""",2025-12-16T19:12:11.145913,
8,MIT,Beginner,wants to know clubs with other people who learn coding,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Freshman-year student discovering coding for the first time

CURRENT SITUATION:
Jessey Johnson wants to know clubs with other people who learn coding.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""Are there any coding or programming clubs at MIT that I can join to meet others who are learning coding?""",2025-12-16T19:12:12.839587,
9,MIT,High Intermediate,is reading a book about coding,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson is reading a book about coding.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""How can I effectively implement a merge sort algorithm with O(n log n) complexity in Python?""",2025-12-16T19:12:14.628279,
10,Malagasy,Intermediate,is building a prototype for a school project,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Vatosoa Razafindrazaka is building a prototype for a school project.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","How can I implement a RESTful API in my Flask application to manage CRUD operations for my school project prototype?""",2025-12-16T19:12:16.277513,
