prompt_id,persona,level,situational_context,full_prompt,llm_response,timestamp,error
1,Malagasy,High Intermediate,wants to practice coding,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Vatosoa Razafindrazaka wants to practice coding.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","Vatosoa Razafindrazaka's Question: ""How can I implement a concurrent web scraper in Python using asyncio and aiohttp?""",2025-12-16T21:13:06.637987,
2,Malagasy,Intermediate,is discovering GitHub,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Vatosoa Razafindrazaka is discovering GitHub.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","""Can you explain how to fork a repository on GitHub and then make contributions?""",2025-12-16T21:13:08.172735,
3,MIT,Intermediate,is vibecoding,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Jessey Johnson is vibecoding.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""Can you help me write a function in Python to implement a merge sort algorithm?""",2025-12-16T21:13:09.912010,
4,MIT,High Intermediate,is preparing for a technical interview,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson is preparing for a technical interview.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""How does one effectively optimize a machine learning model's hyperparameters using techniques like grid search or random search, and what are some best practices for evaluating model performance?""",2025-12-16T21:13:11.700507,
5,Malagasy,Intermediate,is building a prototype for a school project,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Vatosoa Razafindrazaka is building a prototype for a school project.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","""How can I optimize my Python code for a larger dataset to ensure it runs efficiently?""",2025-12-16T21:13:13.266933,
6,MIT,High Intermediate,wants to practice coding,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson wants to practice coding.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""Can you help me implement a binary search tree with insertion and deletion operations in Python?""",2025-12-16T21:13:14.828379,
7,MIT,Intermediate,is discovering GitHub,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Sophomore student who has built simple projects for coding assignments

CURRENT SITUATION:
Jessey Johnson is discovering GitHub.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","Jessey Johnson's Question: ""How do I properly fork and clone a repository on GitHub to start working on it?""",2025-12-16T21:13:16.479794,
8,MIT,High Intermediate,is building a website,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson is building a website.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","How can I implement server-side rendering with Next.js while optimizing for both performance and SEO?""",2025-12-16T21:13:18.122626,
9,Malagasy,High Intermediate,is reading a book about coding,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Vatosoa Razafindrazaka
Institution: A Malagasy student studying at the University of Antananarivo
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Vatosoa Razafindrazaka is reading a book about coding.

Vatosoa Razafindrazaka has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Vatosoa Razafindrazaka would likely know given their profile.
2. Generate the specific question Vatosoa Razafindrazaka would ask.
3. IMPORTANT: Generate ONLY the question that Vatosoa Razafindrazaka would ask. DO NOT make Vatosoa Razafindrazaka introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Vatosoa Razafindrazaka's Question: ""","Vatosoa Razafindrazaka's Question: ""How can I implement a recursive function to optimize the performance of a depth-first search algorithm in Python?""",2025-12-16T21:13:19.843977,
10,MIT,High Intermediate,is updating a feature in a production app,"This document contains a record of questions asked by computer science students.

STUDENT PROFILE:
Name: Jessey Johnson
Institution: A domestic American student studying at MIT
Experience Level: Senior students who completed a 3-month internship at a reputable tech company

CURRENT SITUATION:
Jessey Johnson is updating a feature in a production app.

Jessey Johnson has access to an AI assistant to help with coding.

TASK:
1. Think about what technical terms Jessey Johnson would likely know given their profile.
2. Generate the specific question Jessey Johnson would ask.
3. IMPORTANT: Generate ONLY the question that Jessey Johnson would ask. DO NOT make Jessey Johnson introduce themselves again. Do not provide any answers, explanations, or additional text. Stop immediately after the question.

Jessey Johnson's Question: ""","How can I ensure that my code changes during this feature update won't introduce any regressions and maintain the current app performance metrics?""",2025-12-16T21:13:21.489558,
